A,code,name,price,RF,涨跌额,volumn,成交额,振幅,最高,最低,今开,昨收,量比,,turnover,PE,市净率,B,C,D,E,F,G,H,I
1,600794,保税科技,2.73,0.01,0.37,39115,10750303,1.84,2.77,2.72,2.72,2.72,-0.36,0.63,0.33,60.51,1.83,3309175412,3252997480,-13.61%,-31.92%,-0.73,1997-03-06,2018-09-07 15:00:00,39115
2,002807,江阴银行,5.46,0.02,0.37,49139,26879477,1.84,5.52,5.42,5.44,5.44,0.00,0.86,0.68,13.13,1.03,9650013644,3922140533,-6.98%,-33.74%,-0.18,2016-09-02,2018-09-07 15:00:00,49139
2,300385,雪浪环境,16.29,0.06,0.37,2475,4032401,2.34,16.46,16.08,16.32,16.23,0.12,1.13,0.43,28.48,1.89,2119901387,943524004,-17.52%,-34.53%,0.00,2014-06-26,2018-09-07 15:00:00,2475
2,300426,唐德影视,8.42,0.03,0.36,36196,30102525,3.46,8.45,8.16,8.26,8.39,0.36,1.01,1.75,18.69,2.68,3368000031,1740259879,-38.99%,-57.35%,0.24,2015-02-17,2018-09-07 15:00:00,36196
2,002391,长青股份,11.14,0.04,0.36,14245,15923743,1.89,11.29,11.08,11.16,11.10,0.00,1.01,0.60,11.61,1.29,4004676169,2648140770,-17.05%,-26.03%,0.00,2010-04-16,2018-09-07 15:00:00,14245
1,600313,农发种业,2.75,0.01,0.36,93689,25718260,1.82,2.77,2.72,2.73,2.74,0.36,0.80,0.94,-,2.16,2976046323,2732390452,-4.18%,-14.06%,0.36,2001-01-19,2018-09-07 15:00:00,93689
1,600593,大连圣亚,24.85,0.09,0.36,5955,14801666,2.18,25.30,24.76,24.76,24.76,0.12,1.40,0.46,193.71,7.16,3200680049,3200680049,20.81%,-9.83%,0.24,2002-07-11,2018-09-07 15:00:00,5955
2,000731,四川美丰,5.52,0.02,0.36,31205,17197327,2.18,5.56,5.44,5.49,5.50,0.00,0.82,0.53,13.30,1.21,3264993612,3264993612,-0.36%,-33.33%,0.00,1997-06-17,2018-09-07 15:00:00,31205
2,002729,好利来,22.37,0.08,0.36,5120,11510375,2.33,22.73,22.21,22.34,22.29,0.13,0.94,0.77,60.14,3.51,1491631656,1491631656,-16.84%,-63.9%,0.00,2014-09-12,2018-09-07 15:00:00,5120
2,002825,纳尔股份,14.06,0.05,0.36,2740,3846614,2.07,14.20,13.91,14.00,14.01,0.00,0.52,0.67,34.53,3.36,1972375243,575383218,-37.87%,-45.38%,0.00,2016-11-29,2018-09-07 15:00:00,2740
2,000767,漳泽电力,2.75,0.01,0.36,26639,7312859,1.09,2.76,2.73,2.74,2.74,0.00,0.98,0.09,12.09,1.12,8461591102,8008811448,5.77%,-7.41%,0.36,1997-06-09,2018-09-07 15:00:00,26639
2,002788,鹭燕医药,14.03,0.05,0.36,9038,12748442,2.58,14.27,13.91,14.05,13.98,0.07,0.93,0.86,16.53,1.84,2697312345,1482003084,-17.47%,-52.86%,0.00,2016-02-18,2018-09-07 15:00:00,9038
2,000798,中水渔业,5.80,0.02,0.35,6704,3890372,2.08,5.86,5.74,5.82,5.78,0.35,0.60,0.21,-,2.70,1852839061,1852434499,-14.45%,-31.68%,0.00,1998-02-12,2018-09-07 15:00:00,6704
2,002060,粤水电,2.90,0.01,0.35,23633,6863236,1.38,2.92,2.88,2.89,2.89,0.35,0.70,0.20,27.76,1.21,3486560083,3484993497,-7.94%,-25.06%,0.00,2006-08-10,2018-09-07 15:00:00,23633
2,300469,信息发展,19.81,0.07,0.35,11701,23340911,4.71,20.48,19.55,20.20,19.74,0.00,0.63,1.20,-,5.93,2416699490,1923750118,-43.63%,-50.61%,0.00,2015-06-11,2018-09-07 15:00:00,11701
2,000966,长源电力,2.90,0.01,0.35,13898,4013689,1.73,2.91,2.86,2.87,2.89,1.05,0.47,0.13,66.56,0.98,3214023938,3214023938,-1.69%,-25.26%,0.69,2000-03-16,2018-09-07 15:00:00,13898
1,600499,科达洁能,5.69,0.02,0.35,66114,37501480,1.76,5.72,5.62,5.67,5.67,0.00,0.60,0.47,15.99,1.59,8974300535,8031232062,-22.8%,-50.31%,0.35,2002-10-10,2018-09-07 15:00:00,66114
2,300305,裕兴股份,5.69,0.02,0.35,7199,4104831,2.12,5.76,5.64,5.69,5.67,0.18,0.80,0.31,22.78,1.13,1643004587,1306403495,-7.78%,-26.3%,0.00,2012-03-29,2018-09-07 15:00:00,7199
2,000875,吉电股份,2.90,0.01,0.35,38350,11129150,1.73,2.93,2.88,2.88,2.89,0.35,0.68,0.20,20.19,0.83,6224310747,5667497052,-2.36%,-25.64%,0.00,2002-09-26,2018-09-07 15:00:00,38350
2,002047,宝鹰股份,5.76,0.02,0.35,44196,25465570,1.05,5.78,5.72,5.74,5.74,0.00,0.66,0.35,18.72,2.02,7725870572,7275243768,-2.87%,-23.2%,-0.17,2005-05-31,2018-09-07 15:00:00,44196
1,600649,城投控股,5.81,0.02,0.35,41328,24030756,1.55,5.86,5.77,5.78,5.79,0.35,0.74,0.17,10.39,0.81,14696834289,14064802683,-13.54%,-34.79%,0.17,1993-05-18,2018-09-07 15:00:00,41328
2,000552,靖远煤电,2.95,0.01,0.34,114531,33961520,2.72,3.01,2.93,2.95,2.94,0.00,0.92,0.74,9.92,0.95,6746564707,4594444298,-12.98%,-17.83%,-0.34,1994-01-06,2018-09-07 15:00:00,114531
2,002390,信邦制药,5.84,0.02,0.34,55166,32480725,2.58,5.96,5.81,5.84,5.82,0.00,0.87,0.49,24.88,1.51,9736615343,6631094048,-24.65%,-30.31%,0.00,2010-04-16,2018-09-07 15:00:00,55166
1,600103,青山纸业,2.95,0.01,0.34,29563,8709167,1.70,2.97,2.92,2.94,2.94,0.34,0.91,0.28,20.61,1.53,5232432799,3132432771,-2.64%,-22.37%,0.34,1997-07-03,2018-09-07 15:00:00,29563
1,603167,渤海轮渡,8.91,0.03,0.34,10215,9135696,1.69,9.03,8.88,8.88,8.88,0.11,0.74,0.21,8.64,1.33,4394697045,4289273927,-16.18%,-22.92%,0.00,2012-09-06,2018-09-07 15:00:00,10215
2,002849,威星智能,14.83,0.05,0.34,8120,12088454,2.71,15.06,14.66,14.75,14.78,-0.13,0.89,1.41,29.50,3.37,1927900732,852530723,-15.11%,-48.35%,-0.13,2017-02-17,2018-09-07 15:00:00,8120
1,600820,隧道股份,5.94,0.02,0.34,54892,32628830,1.69,5.98,5.88,5.92,5.92,0.17,0.93,0.17,11.14,0.99,18675930978,18675930990,-6.16%,-30.28%,0.00,1994-01-28,2018-09-07 15:00:00,54892
2,000949,新乡化纤,2.93,0.01,0.34,12435,3654275,1.03,2.95,2.92,2.92,2.92,0.00,1.03,0.10,79.52,1.03,3684932308,3575244025,-7.86%,-35.89%,-0.34,1999-10-21,2018-09-07 15:00:00,12435
1,600587,新华医疗,11.77,0.04,0.34,7124,8423445,1.96,11.91,11.68,11.80,11.73,0.26,0.80,0.18,41.98,1.43,4783658817,4748802914,-19.93%,-30.31%,0.26,2002-09-27,2018-09-07 15:00:00,7124
2,002377,国创高新,5.93,0.02,0.34,22607,13508492,3.72,6.10,5.88,5.89,5.91,-0.17,0.56,0.52,20.03,1.10,5433808285,2559495140,-19.65%,-42.09%,0.00,2010-03-23,2018-09-07 15:00:00,22607
2,002489,浙江永强,2.93,0.01,0.34,24856,7288925,1.71,2.96,2.91,2.92,2.92,0.00,0.86,0.13,-,2.01,6374908099,5480342726,-27.48%,-51.17%,0.34,2010-10-21,2018-09-07 15:00:00,24856
1,600081,东风科技,8.89,0.03,0.34,9971,8902959,2.03,9.03,8.85,8.89,8.86,-0.11,0.91,0.32,14.11,2.13,2787548508,2787548508,-15.57%,-26.1%,-0.11,1997-07-03,2018-09-07 15:00:00,9971
2,002877,智能自控,14.91,0.05,0.34,13123,19593961,2.69,15.10,14.70,14.98,14.86,0.00,0.92,2.53,65.00,5.17,3098417248,774604312,-30%,-37.54%,0.00,2017-06-05,2018-09-07 15:00:00,13123
2,000023,深天地A,11.82,0.04,0.34,18742,22221049,3.82,12.05,11.60,11.88,11.78,0.08,0.86,1.35,948.61,4.11,1640098714,1640098714,-22.13%,-43.12%,0.00,1993-04-29,2018-09-07 15:00:00,18742
2,000005,世纪星源,2.97,0.01,0.34,27112,8064632,1.69,3.00,2.95,2.98,2.96,0.34,0.79,0.29,192.95,2.36,3143854451,2825130745,-4.5%,-31.25%,0.00,1990-12-10,2018-09-07 15:00:00,27112
2,002306,*ST云网,2.94,0.01,0.34,12917,3794335,1.71,2.96,2.91,2.91,2.93,0.34,0.68,0.16,-,519.16,2352000046,2334532071,-20.11%,-38.62%,0.34,2009-11-11,2018-09-07 15:00:00,12917
1,603608,天创时尚,8.92,0.03,0.34,9440,8356555,3.04,8.98,8.71,8.88,8.89,0.11,0.91,0.74,13.92,1.88,3848107363,1136408010,-6.99%,-20.85%,0.00,2016-02-18,2018-09-07 15:00:00,9440
2,002285,世联行,5.97,0.02,0.34,87272,52257586,2.52,6.06,5.91,5.95,5.95,0.00,0.69,0.43,20.49,2.32,12202548810,12004504616,-17.2%,-48.93%,-0.17,2009-08-28,2018-09-07 15:00:00,87272
2,300354,东华测试,9.21,0.03,0.33,8554,7912398,2.72,9.36,9.11,9.11,9.18,0.22,1.17,1.13,623.65,3.67,1273929056,695210397,-8.72%,-27.54%,0.11,2012-09-20,2018-09-07 15:00:00,8554
2,002162,悦心健康,3.07,0.01,0.33,18816,5800143,2.29,3.12,3.05,3.06,3.06,0.00,1.00,0.22,157.10,2.97,2626538443,2615624225,-2.23%,-40.73%,-0.32,2007-08-23,2018-09-07 15:00:00,18816
2,300001,特锐德,12.19,0.04,0.33,19160,23401013,2.22,12.35,12.08,12.14,12.15,0.58,0.85,0.22,49.51,3.99,12160378796,10580438082,1.58%,-11.54%,0.25,2009-10-30,2018-09-07 15:00:00,19160
1,600573,惠泉啤酒,6.03,0.02,0.33,7340,4437739,1.50,6.09,6.00,6.02,6.01,0.17,0.79,0.29,226.82,1.36,1507500052,1507500052,-14.35%,-33.44%,0.00,2003-02-26,2018-09-07 15:00:00,7340
1,600933,爱柯迪,9.19,0.03,0.33,11935,10985064,1.86,9.29,9.12,9.16,9.16,0.22,0.77,0.86,16.66,2.18,7769593245,1270425542,-24.61%,-40.32%,0.11,2017-11-17,2018-09-07 15:00:00,11935
1,603338,浙江鼎力,51.31,0.17,0.33,6542,33857371,3.23,52.40,50.75,50.99,51.14,0.00,0.67,0.29,30.96,5.43,12709319043,11673025312,0.35%,-35.44%,0.04,2015-03-25,2018-09-07 15:00:00,6542
1,601216,君正集团,3.08,0.01,0.33,121103,37348278,1.63,3.11,3.06,3.07,3.07,0.00,0.80,0.14,8.99,1.56,25989092917,25989092579,-17.43%,-35.97%,0.33,2011-02-22,2018-09-07 15:00:00,121103
2,300206,理邦仪器,6.06,0.02,0.33,10500,6384139,2.32,6.15,6.01,6.01,6.04,0.00,0.91,0.31,27.97,2.91,3545099967,2082920298,-13.43%,-27.77%,0.00,2011-04-21,2018-09-07 15:00:00,10500
2,000153,丰原药业,6.14,0.02,0.33,6771,4164979,1.47,6.20,6.11,6.12,6.12,0.00,0.88,0.22,25.56,1.56,1946856606,1915540163,-7.95%,-22.77%,0.16,2000-09-20,2018-09-07 15:00:00,6771
1,600757,长江传媒,6.08,0.02,0.33,66753,40560768,2.15,6.13,6.00,6.05,6.06,0.16,0.92,0.55,7.62,1.15,7378993567,7378062300,2.36%,-13.27%,0.16,1996-10-03,2018-09-07 15:00:00,66753
2,002773,康弘药业,42.12,0.14,0.33,11796,49886317,3.45,42.99,41.54,41.98,41.98,0.02,1.25,0.25,45.76,7.72,28397725617,20020348500,-20.95%,-28.9%,0.00,2015-06-26,2018-09-07 15:00:00,11796
2,002926,华西证券,9.25,0.03,0.33,83441,77552922,1.74,9.38,9.22,9.22,9.22,0.00,1.22,1.59,22.62,1.36,24281250000,4856250000,-15.29%,-32.09%,-0.11,2018-02-05,2018-09-07 15:00:00,83441
1,600533,栖霞建设,3.03,0.01,0.33,51076,15326083,2.32,3.04,2.97,2.98,3.02,0.33,1.16,0.49,23.54,0.87,3181499970,3181499970,-23.1%,-40.24%,-0.33,2002-03-28,2018-09-07 15:00:00,51076
2,000972,*ST中基,3.00,0.01,0.33,13235,3968687,1.34,3.02,2.98,2.99,2.99,0.00,0.41,0.17,-,2.93,2313850737,2313850752,-20.63%,-28.74%,-,2000-09-26,2018-09-07 15:00:00,13235
2,002423,中原特钢,9.12,0.03,0.33,25037,22892504,1.98,9.22,9.04,9.14,9.09,-0.44,0.99,0.50,-,3.00,4587237525,4587237516,-35.23%,-29.9%,-0.33,2010-06-03,2018-09-07 15:00:00,25037
2,002743,富煌钢构,6.31,0.02,0.32,14974,9480762,3.02,6.40,6.21,6.25,6.29,-0.16,0.80,0.45,24.71,1.06,2127800634,2094673134,-18.48%,-40.86%,-0.16,2015-02-17,2018-09-07 15:00:00,14974
1,600346,恒力股份,15.83,0.05,0.32,49877,79099095,2.53,16.03,15.63,15.89,15.78,0.13,0.47,0.54,21.25,2.86,79985664127,14553455053,0.25%,19.74%,0.25,2001-08-20,2018-09-07 15:00:00,49877
1,600356,恒丰纸业,6.18,0.02,0.32,8079,4983551,1.46,6.21,6.12,6.13,6.16,-0.32,0.58,0.27,29.73,0.89,1846159865,1846159852,-7.35%,-26.43%,0.16,2001-04-19,2018-09-07 15:00:00,8079
1,601555,东吴证券,6.31,0.02,0.32,41539,26268140,1.59,6.38,6.28,6.30,6.29,0.00,0.73,0.14,360.52,0.94,18929999828,18242209835,-11.5%,-35.61%,0.16,2011-12-12,2018-09-07 15:00:00,41539
2,300120,经纬辉开,6.34,0.02,0.32,11786,7497594,3.16,6.47,6.27,6.27,6.32,0.32,1.08,0.55,23.69,1.37,2472139116,1348149742,-32.26%,-49.12%,0.16,2010-09-17,2018-09-07 15:00:00,11786
2,300472,新元科技,15.73,0.05,0.32,3313,5245659,3.64,15.99,15.42,15.80,15.68,-0.51,0.65,0.46,71.04,1.76,2084941331,1125918226,-23.16%,-46.91%,-0.63,2015-06-11,2018-09-07 15:00:00,3313
2,300177,中海达,12.70,0.04,0.32,84152,107900815,4.82,13.05,12.44,12.75,12.66,0.00,1.06,2.68,53.90,3.25,5675612274,3981951438,-1.01%,20.49%,-0.16,2011-02-15,2018-09-07 15:00:00,84152
1,600062,华润双鹤,15.62,0.05,0.32,56554,89072986,2.70,15.93,15.51,15.62,15.57,0.13,1.07,0.69,13.97,2.21,16295372911,12859042445,-39.15%,-35.93%,0.13,1997-05-22,2018-09-07 15:00:00,56554
2,300680,隆盛科技,18.94,0.06,0.32,13745,26091408,4.13,19.38,18.60,18.80,18.88,0.48,1.11,4.00,125.78,2.68,1407482975,650107942,-46.45%,-42.59%,0.48,2017-07-25,2018-09-07 15:00:00,13745
1,600190,锦州港,3.09,0.01,0.32,12255,3771062,2.27,3.11,3.04,3.08,3.08,0.00,1.03,0.07,33.93,1.03,6187080563,5498607039,-6.93%,-25.9%,0.00,1999-06-09,2018-09-07 15:00:00,12255
2,002314,南山控股,3.13,0.01,0.32,48096,15068120,1.60,3.16,3.11,3.13,3.12,0.32,0.82,0.42,-,0.82,8475359576,3562152119,-28.21%,-49.92%,0.00,2009-12-03,2018-09-07 15:00:00,48096
2,300536,农尚环境,9.52,0.03,0.32,8224,7862288,2.00,9.64,9.45,9.50,9.49,-0.83,1.32,1.35,30.07,2.93,1595487522,581772407,-18.07%,-51.3%,-0.83,2016-09-20,2018-09-07 15:00:00,8224
2,000571,新大洲A,3.28,0.01,0.31,57302,18847312,2.14,3.32,3.25,3.27,3.27,0.00,0.80,0.71,40.44,1.20,2670129897,2645210346,-30.51%,-42.76%,0.31,1994-05-25,2018-09-07 15:00:00,57302
2,300528,幸福蓝海,9.57,0.03,0.31,13145,12626652,1.68,9.69,9.53,9.53,9.54,0.00,0.72,0.79,20.64,1.81,3565858963,1586835470,-21.23%,-27.94%,0.00,2016-08-08,2018-09-07 15:00:00,13145
2,002372,伟星新材,16.29,0.05,0.31,26507,43380073,2.40,16.57,16.18,16.18,16.24,0.00,1.08,0.23,27.66,7.01,21355010012,19084761170,-13.4%,-17.64%,0.00,2010-03-18,2018-09-07 15:00:00,26507
1,600703,三安光电,16.04,0.05,0.31,329521,531343792,4.94,16.41,15.62,16.00,15.99,-0.25,0.91,0.81,17.65,3.17,65417939579,65417939579,-17.74%,-36.65%,-0.06,1996-05-28,2018-09-07 15:00:00,329521
2,002503,搜于特,3.19,0.01,0.31,69190,22016503,2.52,3.22,3.14,3.20,3.18,-0.31,1.38,0.35,11.47,1.81,9865092390,6233898061,-11.14%,-41.36%,0.00,2010-11-17,2018-09-07 15:00:00,69190
1,603181,皇马科技,16.03,0.05,0.31,7819,12593700,2.32,16.27,15.90,15.90,15.98,0.06,0.81,0.79,19.58,2.43,3206000137,1586970068,-32.73%,-33.37%,0.00,2017-08-24,2018-09-07 15:00:00,7819
2,002712,思美传媒,15.97,0.05,0.31,5462,8759312,2.83,16.25,15.80,15.85,15.92,0.25,0.43,0.30,15.68,1.60,5459884649,2894632018,-16.3%,-30.9%,0.31,2014-01-23,2018-09-07 15:00:00,5462
2,002149,西部材料,6.53,0.02,0.31,32777,21442729,2.61,6.62,6.45,6.56,6.51,0.46,1.22,0.77,60.01,1.58,2777955298,2777465588,-20.56%,-32.19%,0.46,2007-08-10,2018-09-07 15:00:00,32777
2,300139,晓程科技,9.84,0.03,0.31,503057,505784912,7.54,10.49,9.75,10.00,9.81,0.31,2.81,23.68,1080.33,2.41,2696160042,2090120346,11.31%,24.56%,0.10,2010-11-12,2018-09-07 15:00:00,503057
2,002592,八菱科技,12.93,0.04,0.31,5323,6882177,1.32,12.99,12.82,12.95,12.89,-0.08,0.70,0.25,171.05,1.76,3663471946,2708142572,-1.07%,-35.54%,0.23,2011-11-11,2018-09-07 15:00:00,5323
2,002043,兔宝宝,6.68,0.02,0.30,35942,24021558,1.65,6.74,6.63,6.63,6.66,0.15,0.94,0.52,14.58,3.21,5546194126,4633871205,-26.02%,-47.11%,0.00,2005-05-10,2018-09-07 15:00:00,35942
1,600329,中新药业,16.91,0.05,0.30,45451,77072765,3.08,17.22,16.70,16.87,16.86,-0.29,1.07,0.80,20.74,2.91,13001643598,9567138146,-8.89%,12.73%,0.06,2001-06-06,2018-09-07 15:00:00,45451
2,000591,太阳能,3.34,0.01,0.30,102218,34129205,1.20,3.36,3.32,3.34,3.33,0.00,0.61,0.50,11.38,0.82,10043707169,6803910245,-20.48%,-43%,-0.30,1996-02-08,2018-09-07 15:00:00,102218
1,601872,招商轮船,3.35,0.01,0.30,39300,13161229,1.50,3.38,3.33,3.34,3.34,0.00,0.79,0.08,96.42,1.08,20323151822,15815087767,-8.72%,-24.72%,0.30,2006-12-01,2018-09-07 15:00:00,39300
1,600742,一汽富维,10.03,0.03,0.30,14325,14377555,1.60,10.12,9.96,10.03,10.00,0.10,1.04,0.28,9.86,1.10,5091791149,5091791149,-20.21%,-39.72%,0.00,1996-08-26,2018-09-07 15:00:00,14325
2,000631,顺发恒业,3.37,0.01,0.30,21489,7248599,1.79,3.41,3.35,3.35,3.36,0.00,0.48,0.09,5.44,1.35,8197589318,8197589318,-8.17%,-22.17%,0.00,1996-11-22,2018-09-07 15:00:00,21489
2,002209,达意隆,6.72,0.02,0.30,13071,8805501,2.69,6.81,6.63,6.63,6.70,0.30,0.86,0.85,236.94,2.06,1312039975,1033179223,-13.96%,-33%,0.15,2008-01-30,2018-09-07 15:00:00,13071
2,000728,国元证券,6.67,0.02,0.30,79249,53037231,2.11,6.76,6.62,6.67,6.65,-0.15,1.03,0.27,48.44,0.92,22447532060,19650820725,-16.1%,-39.91%,0.00,1997-06-16,2018-09-07 15:00:00,79249
1,600127,金健米业,3.29,0.01,0.30,23602,7761114,1.52,3.31,3.26,3.28,3.28,0.30,0.74,0.37,207.10,2.78,2111466763,2111466756,-6.27%,-28.17%,0.00,1998-05-06,2018-09-07 15:00:00,23602
1,600586,金晶科技,3.29,0.01,0.30,41122,13513247,1.83,3.32,3.26,3.27,3.28,0.00,1.52,0.28,11.88,1.13,4797813853,4751206385,-9.37%,-28.48%,0.00,2002-08-15,2018-09-07 15:00:00,41122
1,601579,会稽山,10.05,0.03,0.30,5969,5976331,2.50,10.11,9.86,9.91,10.02,0.00,1.37,0.15,28.88,1.63,4998468095,4020000076,-1.57%,-15.19%,-0.10,2014-08-25,2018-09-07 15:00:00,5969
2,300096,易联众,6.60,0.02,0.30,56878,37785870,3.80,6.75,6.50,6.53,6.58,-0.15,0.79,1.51,-,4.03,2837999959,2485045692,-30.96%,-39.78%,-0.15,2010-07-28,2018-09-07 15:00:00,56878
2,300171,东富龙,6.58,0.02,0.30,9036,5954289,1.98,6.64,6.51,6.58,6.56,0.15,1.05,0.27,48.14,1.38,4134457675,2195265477,-9.74%,-32.93%,0.15,2011-02-01,2018-09-07 15:00:00,9036
2,000960,锡业股份,9.94,0.03,0.30,86338,86227417,2.02,10.09,9.89,9.97,9.91,0.00,0.73,0.61,18.34,1.45,16587636507,13977061546,-24.35%,-24.81%,-0.10,2000-02-21,2018-09-07 15:00:00,86338
1,603288,海天味业,67.70,0.20,0.30,20081,136530186,2.31,68.69,67.13,67.50,67.50,-0.18,0.66,0.07,40.67,15.61,182871685347,182579221631,-12.99%,27.47%,0.00,2014-02-11,2018-09-07 15:00:00,20081
1,600320,振华重工,3.38,0.01,0.30,26337,8899200,1.19,3.40,3.36,3.37,3.37,0.30,0.95,0.08,54.92,1.21,17807035436,11228352484,-23.36%,-45.57%,0.00,2000-12-21,2018-09-07 15:00:00,26337
2,002385,大北农,3.37,0.01,0.30,60804,20532475,1.49,3.40,3.35,3.36,3.36,0.00,0.65,0.27,68.75,1.44,14298888839,7660201425,-35.32%,-44.93%,0.30,2010-04-09,2018-09-07 15:00:00,60804
1,601008,连云港,3.35,0.01,0.30,21522,7191865,1.50,3.37,3.32,3.34,3.34,0.60,0.89,0.21,271.76,1.06,3400970492,3400970502,-12.3%,-29.32%,0.30,2007-04-26,2018-09-07 15:00:00,21522
1,600783,鲁信创投,10.15,0.03,0.30,116862,121074823,5.24,10.58,10.05,10.30,10.12,-0.29,2.53,1.57,15.89,2.03,7555246550,7555246570,-5.76%,-33.83%,-,1996-12-25,2018-09-07 15:00:00,116862
1,603006,联明股份,10.13,0.03,0.30,3270,3325857,1.78,10.23,10.05,10.10,10.10,0.00,0.88,0.46,21.06,1.98,1948602628,717848276,-17.58%,-33.4%,0.00,2014-06-30,2018-09-07 15:00:00,3270
2,300639,凯普生物,16.75,0.05,0.30,8577,14436122,2.57,17.03,16.60,16.70,16.70,-0.18,0.86,0.95,32.93,3.13,3048634000,1517164750,-17.69%,-76.62%,0.06,2017-04-12,2018-09-07 15:00:00,8577
2,002689,远大智能,3.32,0.01,0.30,25603,8485768,2.42,3.35,3.27,3.28,3.31,0.30,0.41,0.25,-,2.55,3463791537,3455524030,-15.74%,-41.34%,0.30,2012-07-17,2018-09-07 15:00:00,25603
1,603067,振华股份,10.16,0.03,0.30,46128,47094897,2.17,10.33,10.11,10.20,10.13,-0.20,0.66,2.96,17.49,2.65,3129279953,1580990464,-8.55%,-24.63%,-0.10,2016-09-13,2018-09-07 15:00:00,46128
1,600209,*ST罗顿,3.50,0.01,0.29,31350,11013662,3.44,3.57,3.45,3.49,3.49,-0.28,0.77,0.71,-,2.56,1536539092,1536539088,-40.68%,-64.75%,-,1999-03-25,2018-09-07 15:00:00,31350
2,002342,巨力索具,3.47,0.01,0.29,44965,15639768,2.60,3.52,3.43,3.46,3.46,0.00,0.70,0.51,126.70,1.38,3331200027,3057540668,-15.57%,-43.3%,-0.29,2010-01-26,2018-09-07 15:00:00,44965
2,300587,天铁股份,17.17,0.05,0.29,4386,7534666,1.58,17.31,17.04,17.12,17.12,0.29,0.84,1.04,33.54,2.06,1828605008,722537229,-17.45%,-26.44%,0.23,2017-01-05,2018-09-07 15:00:00,4386
2,002159,三特索道,20.62,0.06,0.29,5746,11895830,1.99,20.89,20.48,20.67,20.56,0.05,0.56,0.41,14.81,3.10,2859306769,2856886909,-2.09%,8.01%,0.05,2007-08-17,2018-09-07 15:00:00,5746
2,002325,洪涛股份,3.40,0.01,0.29,46756,15920113,2.06,3.44,3.37,3.39,3.39,-0.29,1.10,0.51,19.32,1.15,4248091495,3129252539,-12.82%,-29.17%,0.00,2009-12-22,2018-09-07 15:00:00,46756
2,000655,*ST金岭,3.45,0.01,0.29,23649,8147160,3.20,3.50,3.39,3.44,3.44,0.00,0.87,0.40,25.13,0.88,2053923822,2053923801,-2.27%,-51.13%,-,1996-11-28,2018-09-07 15:00:00,23649
1,601988,中国银行,3.51,0.01,0.29,576694,202569956,0.86,3.53,3.50,3.50,3.50,-0.28,0.61,0.03,4.74,0.75,1033301144448,739786961958,-6.4%,-11.81%,0.00,2006-07-05,2018-09-07 15:00:00,576694
1,603887,城地股份,13.88,0.04,0.29,2961,4119811,2.53,14.11,13.76,13.85,13.84,0.22,0.50,0.37,20.28,2.51,2001496017,1123010267,-19.63%,-45.05%,0.00,2016-10-10,2018-09-07 15:00:00,2961
2,000701,厦门信达,6.84,0.02,0.29,21540,14758535,3.08,6.97,6.76,6.83,6.82,0.88,0.59,0.57,23.79,0.89,2781233365,2584797425,-7.44%,-32.14%,0.15,1997-02-26,2018-09-07 15:00:00,21540
1,603058,永吉股份,10.41,0.03,0.29,21592,22614877,3.08,10.67,10.35,10.48,10.38,-0.19,0.85,0.95,34.88,4.87,4408739035,2374167025,-13.54%,-16.12%,-0.10,2016-12-23,2018-09-07 15:00:00,21592
2,002177,御银股份,3.45,0.01,0.29,36346,12584988,2.03,3.50,3.43,3.45,3.44,-0.29,0.83,0.56,293.97,1.57,2626110001,2223591878,-15.23%,-30.86%,-0.29,2007-11-01,2018-09-07 15:00:00,36346
1,600628,新世界,6.81,0.02,0.29,13583,9244604,0.88,6.84,6.78,6.79,6.79,0.15,1.04,0.26,11.25,1.00,4405221328,3621552957,-12.13%,-33.82%,0.00,1993-01-19,2018-09-07 15:00:00,13583
1,603358,华达科技,17.56,0.05,0.29,5565,9797453,2.00,17.77,17.42,17.51,17.51,0.23,0.55,0.57,13.72,1.53,3933439880,1727170993,-21.68%,-52.42%,0.11,2017-01-25,2018-09-07 15:00:00,5565
1,600518,康美药业,20.55,0.06,0.29,34735,71206801,1.27,20.63,20.37,20.48,20.49,0.00,0.53,0.08,19.62,3.50,102212853626,90485593556,-12.7%,-8.18%,0.10,2001-03-19,2018-09-07 15:00:00,34735
2,000958,东方能源,3.41,0.01,0.29,47614,16230425,2.06,3.44,3.37,3.39,3.40,0.00,0.49,0.43,15.99,1.47,3758751795,3748521815,-12.34%,-32.21%,0.00,1999-12-23,2018-09-07 15:00:00,47614
1,603701,德宏股份,10.68,0.03,0.28,6613,7038532,4.32,10.77,10.31,10.65,10.65,0.85,1.12,0.93,19.91,2.55,1559873853,759732502,-22.72%,-44.83%,0.19,2016-04-12,2018-09-07 15:00:00,6613
2,002674,兴业科技,7.14,0.02,0.28,4859,3477310,1.40,7.20,7.10,7.13,7.12,0.00,0.58,0.20,31.99,0.97,2156866596,1716620723,-15.2%,-31.67%,0.00,2012-05-07,2018-09-07 15:00:00,4859
1,600362,江西铜业,14.08,0.04,0.28,65364,92281177,1.57,14.25,14.03,14.04,14.04,0.00,0.97,0.31,19.08,1.02,48755229758,29219483346,-17.03%,-31.45%,-0.07,2002-01-11,2018-09-07 15:00:00,65364
2,300191,潜能恒信,17.97,0.05,0.28,10405,18710905,1.56,18.13,17.85,18.00,17.92,-0.39,0.80,0.50,322.05,4.95,5750399780,3720135780,-5.47%,-22.04%,-0.22,2011-03-16,2018-09-07 15:00:00,10405
