A,code,name,price,RF,涨跌额,volumn,成交额,振幅,最高,最低,今开,昨收,量比,,turnover,PE,市净率,B,C,D,E,F,G,H,I
1,600326,西藏天路,7.06,0.26,3.82,312454,218008880,6.76,7.15,6.69,6.77,6.80,0.28,1.78,3.61,14.09,2.17,6109614591,6109614605,11.36%,-32.12%,0.00,2001-01-16,2018-09-07 15:00:00,312454
2,002648,卫星石化,11.22,0.41,3.79,98274,107193088,4.90,11.25,10.72,10.77,10.81,0.45,1.01,0.95,18.30,1.61,11956153528,11619204825,-8.11%,-35.07%,0.09,2011-12-28,2018-09-07 15:00:00,98274
1,600693,东百集团,5.54,0.20,3.75,64680,35522156,4.68,5.60,5.35,5.40,5.34,-0.18,2.32,0.72,71.87,2.38,4976189446,4970751670,-9.62%,-44.99%,0.00,1993-11-22,2018-09-07 15:00:00,64680
2,000650,仁和药业,7.51,0.27,3.73,359132,266109085,4.83,7.54,7.19,7.24,7.24,-0.13,1.69,2.90,19.03,2.97,9299934254,9297342914,24.96%,42.23%,-0.13,1996-12-10,2018-09-07 15:00:00,359132
2,000935,四川双马,15.20,0.54,3.68,68387,104321021,5.93,15.68,14.81,14.81,14.66,0.13,1.93,0.90,19.79,3.77,11604292916,11604292962,-14.65%,-12.59%,0.07,1999-08-24,2018-09-07 15:00:00,68387
1,600807,*ST天业,2.54,0.09,3.67,427177,107919573,6.94,2.57,2.40,2.45,2.45,0.00,2.95,5.43,-,2.13,2246972183,1999026869,-17.53%,-73.29%,0.00,1994-01-03,2018-09-07 15:00:00,427177
2,000961,中南建设,6.21,0.22,3.67,220250,136320009,5.84,6.25,5.90,6.01,5.99,0.00,1.44,0.60,12.43,1.55,23037788571,22975995711,-19.25%,-6.19%,0.16,2000-03-01,2018-09-07 15:00:00,220250
2,002243,通产丽星,7.93,0.28,3.66,230566,181091410,7.32,8.15,7.59,7.59,7.65,0.51,1.54,6.32,49.34,1.92,2894045158,2894045190,27.9%,-5.48%,0.25,2008-05-28,2018-09-07 15:00:00,230566
2,002035,华帝股份,10.22,0.36,3.65,187215,192153609,4.56,10.43,9.98,9.98,9.86,-0.10,1.40,2.40,13.01,4.08,8918412960,7985621231,-63.66%,-67.31%,0.00,2004-09-01,2018-09-07 15:00:00,187215
1,603101,汇嘉时代,12.31,0.43,3.62,21958,26845705,4.21,12.45,11.95,11.99,11.88,-0.32,3.29,3.05,18.45,2.23,2954400101,886320030,-2.15%,-9.08%,0.00,2016-05-06,2018-09-07 15:00:00,21958
2,300216,千山药机,4.31,0.15,3.61,481546,206452145,10.82,4.50,4.05,4.25,4.16,-0.69,1.52,17.10,-,3.36,1557784485,1213819560,-30.03%,-69.99%,0.00,2011-05-11,2018-09-07 15:00:00,481546
1,603843,正平股份,8.70,0.30,3.57,161553,139276797,8.21,8.95,8.26,8.34,8.40,0.23,0.88,8.38,41.36,2.67,3480026024,1677676060,-23.82%,-40.74%,0.23,2016-09-05,2018-09-07 15:00:00,161553
1,600535,天士力,22.95,0.79,3.56,102715,235178140,3.20,23.20,22.49,22.50,22.16,0.04,1.68,0.68,18.77,3.79,34715691110,34715690995,-14.04%,-35.73%,0.09,2002-08-23,2018-09-07 15:00:00,102715
2,002273,水晶光电,11.84,0.40,3.50,237546,280548192,4.98,12.07,11.50,11.55,11.44,0.00,2.00,2.93,19.92,2.95,10215809817,9588056751,-20.91%,-50.38%,-0.08,2008-09-19,2018-09-07 15:00:00,237546
1,600007,中国国贸,14.83,0.50,3.49,17777,26189764,4.33,14.89,14.27,14.59,14.33,-0.13,1.28,0.18,18.49,2.28,14937999902,14937999813,-4.75%,-13.38%,-0.13,1999-03-12,2018-09-07 15:00:00,17777
